m_chi_GeV,m_V_keV,alpha_chi,cooling_brem_r0p1,sigma_eff_cm2_per_g
31.622776601683793,0.0001,0.0001,5.326394348826079e-16,49.654007103123995
31.622776601683793,0.00017782794100389227,0.0001,5.323898921706468e-16,47.988838943231045
31.622776601683793,0.00031622776601683794,0.0001,5.319863894173135e-16,46.323670783338166
31.622776601683793,0.0005623413251903491,0.0001,5.312976668228278e-16,44.65850262344552
31.622776601683793,0.001,0.0001,5.301474448912658e-16,42.99333446355357
31.622776601683793,0.0017782794100389228,0.0001,5.283113521509604e-16,41.32816630366377
31.622776601683793,0.0031622776601683794,0.0001,5.252808802436339e-16,39.66299814378047
31.622776601683793,0.0031622776601683794,0.00015848931924611142,2.0911808497964376e-15,99.6289468703519
31.622776601683793,0.005623413251903491,0.0001,5.202574459644506e-16,37.997829983916915
31.622776601683793,0.005623413251903491,0.00015848931924611142,2.0711821977229663e-15,95.44623356340885
31.622776601683793,0.01,0.0001,5.124225078638878e-16,36.33266182411321
31.622776601683793,0.01,0.00015848931924611142,2.0399907473361983e-15,91.26352025661616
31.622776601683793,0.01778279410038923,0.0001,5.0008548633919e-16,34.66749366449058
31.622776601683793,0.01778279410038923,0.00015848931924611142,1.9908761800136477e-15,87.08080695027827
31.622776601683793,0.03162277660168379,0.0001,4.801908704825761e-16,33.00232550541457
31.622776601683793,0.03162277660168379,0.00015848931924611142,1.9116742877343944e-15,82.89809364531347
31.622776601683793,0.05623413251903491,0.0001,4.507386336618779e-16,31.337157347985087
31.622776601683793,0.05623413251903491,0.00015848931924611142,1.7944228210627976e-15,78.71538034448454
31.622776601683793,0.1,0.0001,4.0830058024236114e-16,29.671989195502906
31.622776601683793,0.1,0.00015848931924611142,1.6254738873563775e-15,74.53266705608267
31.622776601683793,0.1778279410038923,0.0001,3.4597074360838585e-16,28.006821057844892
31.622776601683793,0.1778279410038923,0.00015848931924611142,1.377334338322241e-15,70.34995380491743
31.622776601683793,0.31622776601683794,0.0001,2.6727551280514826e-16,26.34165296447015
31.622776601683793,0.31622776601683794,0.00015848931924611142,1.0640429816109272e-15,66.16724066498674
31.622776601683793,0.5623413251903491,0.0001,1.7904526381992753e-16,24.67648500292572
31.622776601683793,0.5623413251903491,0.00015848931924611142,7.127920338035587e-16,61.9845278561988
31.622776601683793,1.778279410038923e-06,0.0001,5.329925528607695e-16,61.31018422237491
31.622776601683793,3.162277660168379e-06,0.0001,5.329861039932526e-16,59.645016062481915
31.622776601683793,5.623413251903491e-06,0.0001,5.329754186292711e-16,57.97984790258892
31.622776601683793,1e-05,0.0001,5.329579063353016e-16,56.31467974269594
31.622776601683793,1.778279410038923e-05,0.0001,5.329264430310355e-16,54.649511582802944
31.622776601683793,3.1622776601683795e-05,0.0001,5.328741626930782e-16,52.98434342290996
31.622776601683793,5.623413251903491e-05,0.0001,5.327889419806326e-16,51.31917526301697
31.622776601683793,1.0,0.0001,9.024986706491945e-17,23.01131743231669
31.622776601683793,1.0,0.00015848931924611142,3.5929119220044383e-16,57.801816029396214
31.622776601683793,1.7782794100389228,0.0001,3.0177241099449953e-17,21.34615101589716
31.622776601683793,1.7782794100389228,0.00015848931924611142,1.2013776069212743e-16,53.61910710178656
31.622776601683793,3.1622776601683795,0.0001,5.244594471613783e-18,19.6809879898589
31.622776601683793,3.1622776601683795,0.00015848931924611142,2.0879106657946796e-17,49.436406690429614
31.622776601683793,5.623413251903491,0.0001,2.4280753205402544e-19,18.01583486457981
31.622776601683793,5.623413251903491,0.00015848931924611142,9.666341957510578e-19,45.25373114865529
31.622776601683793,1e-06,0.0001,5.329961038338017e-16,62.97535238226789
56.23413251903491,1e-06,0.0001,9.478198094915479e-17,11.494890673432272
56.23413251903491,1e-06,0.00015848931924611142,3.773338625512354e-16,28.873859914280565
56.23413251903491,1e-06,0.00025118864315095795,1.5021931637429425e-15,72.52785694398962
56.23413251903491,1.778279410038923e-06,0.0001,9.478159970786171e-17,11.198777248133261
56.23413251903491,1.778279410038923e-06,0.00015848931924611142,3.7733234480231055e-16,28.130056619084154
56.23413251903491,1.778279410038923e-06,0.00025118864315095795,1.5021871214756416e-15,70.65950753907364
56.23413251903491,3.162277660168379e-06,0.0001,9.478096824563885e-17,10.902663822834251
56.23413251903491,3.162277660168379e-06,0.00015848931924611142,3.77329830905922e-16,27.386253323887747
56.23413251903491,3.162277660168379e-06,0.00025118864315095795,1.5021771134738585e-15,68.79115813415767
56.23413251903491,5.623413251903491e-06,0.0001,9.477982145680651e-17,10.60655039753524
56.23413251903491,5.623413251903491e-06,0.00015848931924611142,3.773252654573493e-16,26.642450028691336
56.23413251903491,5.623413251903491e-06,0.00025118864315095795,1.5021589380957228e-15,66.9228087292417
56.23413251903491,1e-05,0.0001,9.477792130053082e-17,10.31043697223623
56.23413251903491,1e-05,0.00015848931924611142,3.7731770079896405e-16,25.898646733494925
56.23413251903491,1e-05,0.00025118864315095795,1.5021288226482633e-15,65.05445932432572
56.23413251903491,1.778279410038923e-05,0.0001,9.477480712535194e-17,10.01432354693722
56.23413251903491,1.778279410038923e-05,0.00015848931924611142,3.7730530304427337e-16,25.154843438298514
56.23413251903491,1.778279410038923e-05,0.00025118864315095795,1.5020794662978521e-15,63.186109919409745
56.23413251903491,3.1622776601683795e-05,0.0001,9.476921207073714e-17,9.71821012163821
56.23413251903491,3.1622776601683795e-05,0.00015848931924611142,3.7728302873065544e-16,24.411040143102102
56.23413251903491,3.1622776601683795e-05,0.00025118864315095795,1.5019907906581475e-15,61.31776051449377
56.23413251903491,5.623413251903491e-05,0.0001,9.47599151658832e-17,9.4220966963392
56.23413251903491,5.623413251903491e-05,0.00015848931924611142,3.7724601708579235e-16,23.667236847905695
56.23413251903491,5.623413251903491e-05,0.00025118864315095795,1.5018434446460079e-15,59.449411109577795
56.23413251903491,0.0001,0.0001,9.474476054205812e-17,9.12598327104019
56.23413251903491,0.0001,0.00015848931924611142,3.771856854416743e-16,22.923433552709287
56.23413251903491,0.0001,0.00025118864315095795,1.501603260044661e-15,57.58106170466183
56.23413251903491,0.00017782794100389227,0.0001,9.471817400265092e-17,8.829869845741182
56.23413251903491,0.00017782794100389227,0.00015848931924611142,3.770798425218922e-16,22.17963025751288
